name,preis,kategorie,konto,datum,next_due,active
Gehalt Bosch,1428,Gehalt,ksk,2025-05-30T00:00:00,2025-06-30,True
Wohngeld Paoa,250,supoort,ksk,2025-06-01T00:00:00,2025-07-01,True
