name,betrag,sender,empfänger,datum,next_due,active
Gehalt,1000,ksk,traderepublic,2025-05-31T00:00:00,2025-05-31,False
Fun mit Lou,100,ksk,dkb,2025-06-01T00:00:00,2025-07-01,True
