name,preis,kategorie,konto,datum,next_due,active
Miete,452.5,Wohnen,ksk,2025-01-03T00:00:00,2025-07-03,True
DKB,100,Fun mit Lou,ksk,2025-01-01T00:00:00,2025-07-01,True
Strom,100,Wohnen,ksk,2025-05-04T00:00:00,2025-07-04,True
Internet,40,Wohnen,ksk,2025-04-28T00:00:00,2025-06-28,True
